"age","repub","MIP"
43,0,"keeping inflation down"
21,0,"children's schooling, pressures on children"
32,0,"environmental issues and education"
27,0,"khj"
64,1,"The lack of education."
28,1,"people"
37,0,"taxes"
57,0,"morals"
41,1,"taxes"
60,0,"crime"
34,0,"pollution"
45,1,"drugs"
32,0,"community issues;higher punishments for school crimes"
63,0,"race (spec) people not getting along."
45,1,"health care"
41,1,"distribution of wealth"
77,0,"we're not treated equal"
80,1,"righ ts to the second admendment"
65,0,"|no unity"
38,0,""
27,1,"Lack of respect(elab)It;s like I feel that if we were to respect each other we w"
51,1,"violence in schools"
62,1,"the right of small groups going to the exteme to win there point of view."
25,1,"education"
44,0,"violence"
39,0,"youth violence"
64,1,"globalization"
24,1,"drugs"
71,1,"want peace/and unity/live like mutually"
34,0,"lack of god"
29,0,"the loss of freedom that the government is taking from its citizens"
29,0,"morals"
31,0,"crime"
52,1,"drugs with kids"
37,1,"discrimination (elab) people here in us treat each other differently."
30,0,"pollution"
36,1,"prejudice"
49,0,"welfare system"
63,1,"prblems taking care of our old people|tax problems taxes go up and up"
37,0,"education"
68,1,""
54,0,"education"
70,1,"election of this year"
68,1,"guns"
41,0,"no prayer in schools"
51,0,"high taxes"
23,0,"people unfortunste/money wise"
67,0,"taking care of our kids"
20,1,"employment and job poortunties"
42,0,"hunger"
46,0,"government spending{what}programs and services"
40,0,"morality"
78,1,"the biggest is that w/seniors and men who fought for the country they cut ss the"
43,0,"Poverty for one.  Unemployment"
35,1,"crime(spec)killinh, shootuing, guns, kids dying unneccesary(else)no"
47,0,"family values"
60,1,"pollution and cars"
44,1,""
47,1,"homeless people"
35,0,"violence, hand gun accidents involving children"
25,0,"moral decay and political corruption"
24,1,"motivation (add)"
31,0,"poverty"
31,1,"distribution of government spending or general spending which impacts different "
75,1,"political honesty"
44,0,"crime level (elab) there is more crime now."
54,1,""
33,1,"health care"
29,1,"violence"
43,0,"morality and honesty"
37,0,"lack of discipline"
75,1,"politics"
41,0,"Gas prices"
25,1,"pollution"
55,0,"gun control and abortion"
30,0,"lack of education"
67,1,"The hmo's and the prices of pharmaceudicals overpricing.  Medicine because poor "
58,0,"discentigration of family and morals"
53,0,"budget"
65,1,"demise of social security; the fear that it's going to go broke; also concerned "
58,0,"gasoline prices"
84,0,"education"
46,1,"lack of love between individuals"
18,0,"gas prices"
21,1,"environment"
40,1,"education/quality of education is substandard"
43,1,"racism"
21,1,"drugs"
48,1,"politicians"
59,1,"social security (all) main point yes"
62,0,"Moral fiber of the country is nnone"
29,1,"hard to find a job that pays well enough to live comfortably."
79,0,"changing demograpjhics, runaway inflation"
64,1,"jobs"
83,1,""
41,1,"schools are spending too much time testing, instead of teaching."
63,0,"over taxation"
43,1,"younger generation learning resposibilities and morals."
43,1,"money"
39,1,"violence in school"
70,1,"poverty"
22,1,"drugs"
48,1,"guns"
49,0,"building too many houses on usable crop land- needed for farming"
39,1,"Education"
18,0,"abortion"
64,1,""
32,0,"taxes"
40,0,"moral responsibility"
42,1,"violence and lack of religious upbringing wen it comes to children."
45,0,"crimes"
70,0,"crime"
26,0,"crime"
58,0,"too much government intervention (else) i think as a result of intervention the "
37,1,"education"
55,1,"violence (elab) weapons in general"
50,0,"starvation"
19,0,"terrisism"
54,0,"crime (all)the laws dealing with criminals (else)no"
41,0,"people starving, crime"
73,1,"young people/their doing bad things/need adult supervision"
51,0,"morality"
48,1,"child abuse"
44,0,"educatioon"
56,1,"family life kids have problems due to working parents"
36,1,"breaking the cycle of violence.some how teaching the next generation that is not"
38,0,"legalizing partial birth abortions"
38,1,""
18,1,"the breakdown of the american family"
42,0,"morality, the morals within the government, families falling apart"
62,1,"respect for the law"
55,1,"aids"
59,1,""
63,1,"LACK OF MORALITY OF THE PEOPLE IN GOVERNMENT"
42,1,"violence"
77,1,""
32,0,"deficit"
50,0,"taxes"
37,0,"morial dec"
22,1,"crime"
54,0,"politicians"
77,0,""
46,1,"The gun problem."
85,1,"not enough tolerance of people who are different"
33,1,""
68,1,"poverty"
33,1,"pollution and environmetal issues"
26,0,"Drugs"
52,0,"gun control"
23,0,"minimum wadge"
74,1,""
46,1,"lack of commentment to children"
44,1,"victims of crime"
26,0,"people not putting god first"
21,0,"child abuse"
42,0,"attitude of youth"
39,1,"Lack of equal opportunity"
35,0,"moral values"
80,1,"bias, and racial problems, if people stop being so bias towards each other it wo"
48,1,"education"
31,1,"moral values"
47,1,"education"
21,0,"lowering military defense"
24,0,"taxes"
62,0,"the drug & crime problem in the country"
50,1,"DECLINE IN MORALITY"
65,1,"detrioation of natural resources"
35,1,"poverty"
61,1,"immigration, both legal and illegal"
50,0,"1lack of personal responsibilty"
36,1,"gas prices and abuse in phildelphia toward police!"
49,0,"violence"
20,1,"welfare"
53,0,"bill clinton"
35,0,"kindda leaving god out of the country,starting to change things a bit"
28,1,"apathy"
24,1,"poloutin"
74,0,"pride in country, patriotism is lacking"
70,0,""
60,1,"crime"
34,1,"violence"
56,0,"the country has gotten away from it's christian hertiage"
48,1,"aid"
31,1,"drugs"
71,1,"drugs, a\"
18,1,"economy stays the way it is!"
40,1,"no time to spend with kids"
38,0,"violence"
44,1,"racism"
46,0,"the problem gas prices"
32,1,"poverty"
30,0,"illegal immigrents"
37,1,"poverty and addiction to drugs"
52,1,"homelessness"
29,1,"voilence"
51,0,"economy"
26,0,"MORALS AND FAMILY JUST THINKS THERES LACK OF FANILY INVOVEMENT AND FEELS IF PEOP"
27,1,"schools/ kid w/ guns"
56,1,"medicare and social security"
57,0,"people getting back to the grassroots - trusting in god instead of trusting in p"
26,0,"welfare"
53,1,"education"
40,0,"violence"
62,1,"distASTE FOR THE POLITICAL PROCESS"
35,1,"economy"
71,0,"HIGH TAX RATE: IT STIFLES THE INCENTIVE TO GET AHEAD AND TO SAVE."
64,1,"social security     (mean) what to do it, maybe the biggest problem is the surpl"
82,1,"clinton should leave or wise up"
46,0,"economy"
88,1,""
58,1,"crime (elab) no."
47,1,"cost of R/x for elderly"
64,1,"kids killing kids"
62,1,"social security"
46,0,"missle fisaco"
49,0,"the president"
62,1,"gasoline"
71,0,"medical care/whole medical field"
71,1,"no"
53,1,"debt"
30,0,"medical heathcare"
38,0,"morals"
43,1,"education"
65,1,"people being hungry and homeless, overcrowded schools"
45,0,"the roadless proposed ruled clinton is proposing"
47,1,"enviorment"
45,1,"labor and employment issues"
47,1,"education"
28,0,"declinre of moral charactewr"
28,1,"delincuency"
45,0,"LACK OF MORALS (ELAB) POLITICIANS NOT CONCERNED THE ABOUT THE PUBLIC. AND BEHIND"
57,0,"gas prices"
60,1,"gas prices"
71,0,"clinton"
75,0,"people having a sense of direction in terms of...need to take care of our neighb"
18,1,"non acceptance of diversity"
79,1,"cost of medication and kicking out of hospital before you are well by insurance "
53,1,"violence"
31,0,"spending"
32,0,"corect the way the social security and welfare system works in this country"
37,0,"drugadism"
54,0,"the way police and people are"
55,1,"unemployment"
42,0,"Education"
26,0,"education funding"
65,0,"lack of morals"
82,0,"lack of love of god"
32,0,"moral decay"
42,0,"crime"
40,0,"welfare receipints"
57,0,"the chinese"
19,0,"Homeless"
23,1,"education"
49,0,"lack of morals"
38,0,"prayer back in public schools"
52,1,"Getting along with people"
24,1,"educational issues clean up schools"
58,0,"killings"
38,1,"POVERTY IN YOUR OWN BACK YARD (ELAB) TOO BUSY HELPING PEOPLE OVERSEAS AND IGNORI"
47,0,"price of gas"
73,1,"children have a bum wrap;mothers going kids crying;mothers should stay home to r"
73,0,"crime"
39,0,"Divorce"
35,1,"national deficit"
46,1,"pointlessness of the war on drugs"
57,1,"death penalty try to abolish"
68,0,"bill clinton"
38,1,"violence"
63,1,"health insurance and social security|and diablilty problems"
41,1,"cost of combustibles (elab) gas is too expensive now & it will increase a lot of"
35,0,"education(spec)the public schools need more funding for computers and such"
38,0,"youth violence"
49,1,"obesity"
21,1,"foreign affairs"
80,0,"morals"
20,0,"homelessness"
23,0,"welfare"
39,0,"the way that technology is happening too quickly"
66,0,"immorality (mean) people have no morals"
67,0,"morality"
31,1,"education"
45,0,"democrats"
32,1,"POOR THE HOMELSESS"
54,1,"violence"
73,0,"instillin values into the youth"
59,0,"moral and ethics"
19,1,"|vilonce"
38,1,"pollution & hate in the world"
45,0,"crime"
47,1,"education"
52,1,"Health Insurance"
73,1,"violence"
35,1,"the dispostion of wealth amongst the populace"
41,0,"education"
34,0,""
27,1,""
43,1,"hatred"
45,1,"violence in the cities and drugs"
75,1,"our country is going to the dogs.  Prices are skyrocketing, such as gasoline."
35,1,"boys dont go to school"
54,1,"education"
52,1,"foreigh policy (elab) misunderstanding of china & waste of time of the missile d"
36,1,"poverty (else)politics (all) yes"
57,0,"illegal drugs"
50,1,"inflation is eating into our income"
62,1,"maintaining a standard of living"
71,1,"not enough jobs and they don't pay enough"
67,0,"decline of morales"
85,1,"i fel a lack of leader, in a time that leadership is important (add) well i meAN"
22,0,"homelessness"
27,1,"education and enthusiam for wanting to learn"
26,0,"the education system"
45,1,"drugs"
39,0,"kids that are so violent at such a young age, kids who have no direction in thei"
29,0,"violence"
32,1,"education"
35,0,"then kids and what they're getting into.  Not the way it used to be."
74,1,"senior citizens medical problems"
28,0,""
29,0,"lack of discipline of our youth/the courts are taking rights away from the paren"
33,1,"crime(what)racist crimes/robberies/murders(else)no|"
39,1,"guns,easy to buy off the street"
80,1,"americans losing jobs because of immigrants"
39,0,"drugs"
40,0,"to much govt"
24,1,"gas prices"
55,1,"most americans are not looking to the lord for their direction in life and i thi"
53,1,"health care"
21,1,"not enough educational funding"
42,1,"national defense"
45,0,"education"
47,1,"the way the government's run."
79,1,"in spite of the great shape we are supppose to be in the gap between the rich an"
78,1,"dope (drugs)"
45,1,"health care/should be reformed"
42,1,"a lot of killing"
37,0,"over regulation., over taxsaion"
46,0,"lack of military strenghth"
36,1,"the increasing gap between haves and have not and computer and didgital divide"
44,1,"gas crisis"
50,1,"drugs- pare\ntal not having skills needed to face todays society (else) adults n"
51,1,"education"
42,0,"intitlement"
39,0,"leadership untrustworthy"
37,0,"immagration"
26,1,"education"
74,1,"high preiced gas and medical expenses"
28,0,"violence and welfare"
48,1,"social security"
18,1,"lack of interst in educational quality"
49,0,""
52,1,"Family income"
50,1,"drugs abuse"
24,1,"wasting natural resouces"
21,1,"guns in public schools"
69,0,"health"
48,0,"taxes"
81,1,"rouge nations we are most powerful and could easily demolish an enemy.  racism  "
43,1,"violent crime"
50,1,"wages don't come up to the standard of the cost of living."
50,0,"too high taxes"
62,0,"the economy, crime"
55,0,"president"
43,1,"crime"
43,1,"teens and guns"
45,0,"decline of family morals/"
35,0,"the loss of family values"
27,1,""
78,1,""
36,0,"socialism (elab) the federal gov't control everything & that's not constitution."
43,1,"violence in the schools and amongst the youth"
33,0,"there's so many its hard to choose. i think it would be the increasing gap betwe"
29,1,"politics"
28,0,"social security program"
29,1,"work issues"
46,1,"lack of leadership"
51,1,"poverty, aids, no-insurance for poor"
71,1,"too much government handled the wrong way, too many rules"
33,0,"kids values"
81,1,"guns"
80,0,"just making enough money so that we can live and eat"
23,0,"Breakdown of family values"
72,0,"way presidential has cheated old age people.."
52,1,""
73,1,"healthcare"
55,1,"television"
32,1,""
60,0,"the lack of leadership at the top level."
25,1,"economic issues (specific)on as far as the debt that the US has and not enough m"
43,1,"people wanting things only because the party"
38,1,"preservation and allocation of natural resources"
62,1,"evromentlist"
40,0,"a government who is interesyed in power than what is the right thing to do"
54,1,"violence"
39,1,"gun control: too easy for people to get ahold of/and those that have them lack v"
52,0,"health care"
89,1,""
38,0,"decline in morality"
46,0,"nat security immigration"
46,1,"the health insurance"
55,0,"our confidence in our elected officials they seem to have their own agenda and d"
53,1,"crime"
25,1,"violence"
35,1,"jobs"
41,1,"drugs (all) yes"
55,1,"social security(mean)it is going broke and my children won't be able to get any("
38,1,"homelessness"
36,0,"acess to health care"
30,0,"educational system"
33,0,"lack of christ in our life"
34,1,"education"
38,1,"the economy"
23,1,"need to educate, the school system, kids not learning"
29,1,"welfare system"
55,0,"moral decay (else) corruption in politics (all yes"
22,0,"poverty"
41,0,"to be honest, general morals and values, or lack of.. (elab)people just don't ag"
40,1,"drugs"
68,0,"break down of culture"
67,1,"gangs"
30,1,"health care"
85,0,"i think we have taken god out of the countryso therefore we have many problems"
52,1,"commit to a sustainable future"
50,0,"violence"
83,1,"lack of reglion"
38,0,"president clinton"
72,0,"immorality"
37,0,"abortion"
63,0,"the loss of our rights."
21,1,"healthcare"
21,0,"drugs among teenagers"
42,0,"They took prayer out of schools which has caused immorality and hopelessness."
35,0,"children growing up without parents/problems in families"
34,0,"THE LACK OF PERSONAL RESPONSIBILITY"
47,1,"medical insurance"
21,0,""
70,1,""
25,0,"social security, a person of my age will not have social security when i retire,"
48,1,"Drugs"
78,0,"drugs/morality"
31,1,"racism"
32,1,"violence"
55,1,"honesty"
65,0,"crime and punishment is a joke(mean) the way things go on everybody else is resp"
83,1,"being so away from god|and abortion,lack of christianity in government and schoo"
33,0,"violence & drugs"
47,0,"The most important problem is flagrant disregard for spirtual matters."
18,0,"politics (more?) lies"
60,0,"bad government,headed for a broken economy,bad education system"
52,1,"compasionate people, without compasion"
78,0,"|THE PRESENT ADMINISTRATION (EXPLAIN) THEY LIE TO FURTHER THEIR OWN CAUSE, THEY'"
47,1,"GREED"
46,1,"education of those who need it most"
29,0,"social security"
71,0,"morals"
31,0,"lack of morals"
65,1,"medicare"
63,1,"drugs"
49,0,"discipline of children and how to do it"
38,1,"widening gap between haves and have nots in education, technology, career opport"
42,0,"education and morality"
39,0,"lack of respect for human life"
43,1,"child abuse"
60,1,"the way young people talk"
34,0,"taxes too high"
62,0,"the congress.there looking out for there and there own parties best intrest and "
56,1,""
69,0,"morals"
57,1,"welfare<elbor>unemployment and providing job traing or skills for the poor"
41,0,""
50,0,"crime"
31,0,"government spending (add) no"
55,1,"crime and drugs"
22,1,"lack of attention towards minorities"
38,0,"teen agers"
46,1,"lack of faith"
37,0,"family unity"
23,1,"Crime"
50,1,"Every body should have free healt care, which is not given."
32,0,"foreign relations"
30,0,"social security(what)well they always cutting prices and the rich are richer and"
50,1,"lack of morality, problems of the family"
70,1,"our country is trying to wipe god out of everything"
39,1,"pollution"
68,0,"drugs"
70,0,"drugs and illigal use"
33,1,""
70,0,"president clinton"
58,1,"Racism"
29,1,"education, need more help for learning disabled"
45,1,"violance ( kind ?) domestic to kids guns."
32,1,"drugs"
36,0,"difference between poor and rich"
53,0,"political honesty"
34,0,"social securityt"
46,0,""
29,0,"violence"
36,1,"aids"
41,1,"education and lack of childrens health care"
64,1,"lack of christ in peoples lives"
47,0,"health care for the elderly"
64,0,"social security"
33,1,"LACK OF PRAYER (WHERE) LIKE IN SCHOOLS AND GOVERNMENT"
72,1,"lack of education"
37,1,"education"
65,1,"education (elab) teachers need more support (mean) financially help them do a be"
28,0,"the social security right now"
76,0,"too much neg infor in the news"
60,1,"drugs"
66,1,"A lot of government waste on issues that aren't really resolved."
45,0,""
26,0,""
29,1,"national security"
30,0,"poverty"
80,0,"taxes"
24,1,"gas prices (elab) it is too high."
38,1,"poverty(what) not enough jobs or things to help color out black or white"
50,1,"unemployment and drugs"
36,0,"gangs and drugs"
26,0,"youth"
54,1,"social security"
35,0,"issues of guns in schools"
47,0,"crime and lack of discipline"
34,0,"The country has turned away from God."
53,0,"social security"
65,0,"health benifits"
65,0,"prejudice (mean) too many problems against ethnic backgrounds"
32,0,""
44,0,"crime"
52,1,"school (about) not enough teacher and classroom."
33,1,"inbalance of income the diginal divide"
24,1,"education"
27,0,"poverty"
39,0,"budget deficit"
26,1,"education"
63,1,"costs and availabity of prescriptions ."
60,1,"politics in general"
35,0,"presidential election"
75,0,"politics"
52,1,"Economy"
46,1,"Kids and how they are being brought up."
35,1,"h"
43,1,"minimum wage people can't live on that"
37,0,"guns inschools and easy access to guns"
35,0,"moral issues"
24,1,"employment"
35,0,"crime"
45,0,"jobs, that why there are so many drugs"
51,0,"the breakdown of our moral code"
36,0,"kids that are blowing away other kids in school"
69,1,"crime rate of children and break down of family"
48,0,"taxes and I'd say social security"
65,0,"the democrat party the liberals (else) taxes and the judicial system (all) yes"
62,1,"we need better leadership in government to have some people they forget sometime"
70,1,"dissolusioned"
65,0,"people who can't have medical"
45,0,"public crime"
68,1,"health and crime"
56,1,"drugs and aids"
38,0,"overcrouding"
55,0,"social security"
37,0,"the economy"
27,0,"gas prices"
56,1,"unemployment and poor"
30,1,"teenage children"
58,1,"national debt"
38,1,"cost of living"
47,1,"gun control"
52,0,"provety no money and no insurance"
57,0,"truth and politicians, honesty"
44,0,"drug problesm"
39,0,"leadership"
38,1,""
48,0,"sustaining the economic growth"
26,0,""
39,0,"education"
47,1,"immorality (else) just the decay of family values (all)yes"
35,0,"Not enough jobs"
25,1,"contolling of technology"
68,0,"district guard for other peoples rights"
54,0,"socialism"
59,0,"homelessness"
45,1,"unemployment"
31,1,""
24,1,"unemployment"
65,1,"abprtion"
46,1,"issues in other countries particularly 3rd world countries (what) for ex. in fig"
46,1,"racism"
63,1,"health insurance"
42,1,"Gun control"
52,1,"apathy"
30,1,"don't make enough at your job"
57,1,"education: spend all of the money on prisons; should spend more on education rat"
74,1,""
62,0,"getting rid of outr national debt"
19,0,"gun control"
45,1,"education"
31,0,"high taxes"
40,1,"racism"
68,1,"The gun issue."
56,1,"education<too much money on special intrests and special education>not enough mo"
43,0,"crime"
32,1,"Education."
24,0,"decay of morality"
53,1,"guns"
44,0,"social security"
71,0,"m\national  defense..|."
71,0,"i don't know )"
21,1,"air pollution"
24,1,"violence"
23,0,"MARKET GLOBALIZATION/DOWNSIZING PEOPLE LOSING JOBS"
22,1,"aids"
37,1,"they way children are being treated"
33,1,""
31,0,"lack of spirtual influence,getting away from christian values"
50,1,"Drunk driving/ cost of living"
57,1,"demcrats repblicans cant get along"
40,0,"probably education (mean) the kids and school"
36,1,"morals"
23,0,"teen violence"
69,0,"druds and crime /"
34,0,"too many taxes"
83,1,"the big discrepancy between rich and poor"
41,1,"racism"
36,0,"health care issues"
43,1,"plants closing"
36,0,"poverty"
70,0,"none"
67,0,"corruption in government"
19,0,"foreign policy"
26,1,"our youth-so much violence in schools-kids have no respect at all for anybody."
62,1,"inflation"
66,0,"drug use, violence"
29,0,""
33,0,"politicians"
51,1,"civil rights"
68,0,""
25,0,"lack of direction"
25,1,"drugs"
51,0,"lack of moral value (elab) kill of baby is ok as long as we don't incovience the"
68,1,"we need to have an al inclusive health plan in this country."
63,0,"to get rid of big goverment"
44,0,"moral decline"
58,1,"the problems of the poor people"
67,1,"Child abuse and neglect"
77,0,"they've left god out of the schools, they can't pray or do anything."
58,1,"the treatment of employees at work"
30,0,"crime"
86,0,"children today don't have respect for the older people today.the parents cant pu"
37,0,"crime"
51,1,"poverty"
79,0,"desprately need to teach and change behaviors and get back to basic moral values"
45,1,"taxes"
71,1,"say what your going to do and do it"
64,0,"we don't have the type of government we used to have; we don't have any more rig"
44,1,"crime"
44,0,"breakdown of the family"
66,1,"hunger and aids,diabetes"
38,0,"declined in family values/overall declined in moral of country"
40,0,"high tax rates"
50,1,"violence"
68,1,"crime"
52,1,"illiteracy"
62,1,"aids and teen-age murders"
78,1,"the high cost of everything"
27,0,"noone tasking responsability for their actinons"
47,0,"low moral standards"
46,1,"personal freedom,always in danger"
43,1,"poverty"
39,0,"the fact that military and industrial espionage are taking all the secrets out o"
45,0,"decline of economy"
50,1,"economony of people"
72,0,"taxes,health care for seniors"
50,1,"peace with others"
64,0,"taxes"
80,0,"bill clinton"
33,0,"violence"
83,0,""
67,1,"THERE ARE SO MANY I DONT KNOW"
72,0,"healthcare"
55,1,"hunger"
67,1,"helping people acheive livlihoods"
37,0,"education;better teachers to influence the kids in school"
28,1,"crime"
37,0,"Taxes are too high"
35,1,"gas prices"
50,1,"political campaigns financing"
50,0,"moral responsibility"
51,1,""
69,0,"establishing world peace"
44,1,"drug abuse"
62,1,"health insuracne;need national health ins."
51,1,"pjoverty-to many homeless people not enough health care"
35,1,"economics"
68,0,"taxes"
23,0,"need to have prayer in school and more discipline and stronger moral leaders in "
22,1,"politicians and lies"
63,0,""
47,1,"THE BIG DEAL THEY MAKE ABOUT NO PRAYER IN SCHOOL/i THINK IT SHOULD BE"
40,1,"health care"
78,1,"education"
33,1,"violent crime"
49,0,"Crime"
40,0,"i think the medical"
30,1,"gun control"
45,1,"violence in the streets"
57,0,"violence"
95,1,"religion"
72,1,"drugs"
76,0,"too many grugs all over shools are full"
60,0,"education"
40,0,"drugs"
62,0,"crime in schools, crime itself"
27,1,"homelesness"
23,1,"discrimination"
45,0,"lack of god/accountability"
39,0,"family values"
55,1,"the morals the kids have no morals and the courts prevent the schools from teach"
61,1,""
24,0,"education"
43,0,"obsence fund rasing by political people"
57,1,"crime"
64,0,"tv has brought down the morality"
40,0,"putting bible back in school"
32,1,"government"
38,1,"crime"
57,0,"drugs (what kind) illegal drugs crack cocaine and etc (add) no thats all"
43,0,""
18,1,"wealfare poverty"
79,1,"The youth of this country -no respect for anyone"
38,0,"quality of the poloticains"
36,0,"telemarketers"
31,0,"crime"
74,1,"money situation"
36,1,"social security (senior citizens are unable to live of what they are getting fro"
42,0,"demoralization of the country"
45,0,"taking care of elderly people"
31,0,"healthcare"
41,1,"poverty"
66,0,"lack of technically trained people to fill all of the positions needed in our co"
40,1,"weve left our godly heritage , the reason our country wes founded was for freedo"
70,0,"social security (about) people who have worked their whole life don't get what t"
69,1,"education,make easier for good students to get onto college of their chioce"
51,1,"sex discrimination in a job"
25,1,"intolerance; discomfort with knowing who we are; a lot of people never take that"
38,0,""
28,1,"from my perspective its crime (all) yes we have a lot of problems its hard to sa"
24,1,"healthcare"
18,1,"not offhand cant tell you i dont pay much attention"
59,1,"crime"
87,1,""
30,1,"crime rate/intolerance of people"
46,1,"poverty"
51,1,"integrity in government(what) honesty, being a morale person, doing what is best"
46,1,"health care"
50,1,"race"
58,0,"prescription drug assitatant for elderly and health care"
44,1,"federal government doesn't concern itself with people except around election tim"
59,0,"education"
38,1,"pollution(type)air and water"
25,0,"they spend too much money out of the country instead of spending it at home"
37,0,"crime"
60,0,"the break down of christian principles in every day life and lack of morality in"
56,1,"traditional values lost"
40,1,""
36,0,"unemployment"
28,1,"crime"
42,1,"inflation;gas prices going carzy"
38,1,"education in every aspect of society."
64,1,"crime"
29,0,"childcare"
77,1,"taken the abilty of parents to discipline their kids (governments both local and"
42,1,"morals (nobody care about each other)"
36,1,"inflation"
27,0,"morals"
31,1,"poverty"
22,1,"not enough religion in schools"
36,0,"nuclear warfare"
21,1,"not enough family structure"
44,0,"Lack of religion"
78,0,"sins"
47,0,"eCONOMICS"
65,0,"disrespect for other people and drugs"
74,1,"democrats and republicans fighting/ not coming together"
36,0,"medical care"
20,1,"homelessness"
44,0,"kids and shootings"
69,1,"devil (spec) security"
45,1,"education"
19,1,"healthcare/hard not to get without a job"
64,1,"the people in the country are getting older, meaning that programs put together "
70,0,""
83,0,"better health care"
44,1,"too much medicaid"
40,0,"relations with china"
53,0,"lack of morals"
47,0,"corruption"
33,1,"kids that don't respect for elders"
61,1,"providing health care for the poor"
43,0,"drugs and gun control"
37,0,"degredation of the military"
53,1,"crime"
65,1,"the distance between the haves and the have nots"
30,1,"deparages and wages"
55,0,"big federal government (else) no"
45,0,"teenageers"
68,0,"morals"
91,1,"foreign problems with nuclear weapons and defense"
60,0,""
58,0,"taxes"
34,0,"economics"
66,0,"young people not right morals"
33,1,"gas prices and economy"
76,1,"republicans"
20,0,"hmm...the drug problem(types)i dunno(else)no"
58,1,"health care"
34,1,"prolifration of guns"
57,1,"crime and violance"
35,1,"undocumented (spec) they should legalize those people who don't have documents."
52,0,"lack of morals"
57,1,"taxes and dope"
43,0,"youth"
47,1,"crime"
27,0,"destruction of the family"
29,0,"the availaibility of nuclear weapons to 3rd world countries/we've become to lax"
62,0,"china"
28,0,"the farm crisis"
38,1,"gun control"
71,1,"trying to raise the minimum wage so everyone can make an honest living"
38,0,"declined in morals"
42,0,"children"
39,1,"don't know"
18,1,""
47,1,"drugs"
25,1,"lack of values"
81,1,"presidential and all that stuff needs to be looked at need to elect someone who "
81,1,"keep economy up so people can have jobs"
67,1,"poverty"
37,0,"social security"
49,1,"drugs"
60,1,"the cost of living"
45,1,"hunger"
39,0,"the lack of church involvement"
24,1,"education.lack of"
36,1,"lack of personal responsibilty"
53,0,"president"
52,0,"government coreuption"
30,0,""
18,1,"poverty"
54,1,"crime"
42,1,"population"
45,1,"families in crisis"
50,0,"crime and violence"
27,0,"taking religion out of everything"
47,1,"education"
28,0,"the national debt"
75,1,"children need better supervision and education"
30,1,"inequality of resources"
67,0,""
88,0,"childhood, poor regulation"
47,1,"lack of God in the families"
44,1,"I say racism."
36,0,"lack of moral and value"
68,1,"these teenage kids bobbing into different thinks i don't think when i was groing"
58,1,"gas prices.there ridiculous"
72,1,"children with guns, crime"
21,0,"expenses of the middle class, such as health care, daycare, etc."
38,0,"misguided children,taked pray out of school"
45,1,"high prices"
32,1,"political, politics"
26,1,"education"
30,1,"none"
64,0,"trying to find a good choice for president"
49,0,"lack of integrity in leadership"
37,1,"race issue"
36,1,"employment - the distribution of income"
44,1,"social security"
40,0,"violence by teens"
48,0,"devorces"
51,0,"drugs"
41,0,"morals"
42,1,"not enougg attention to kids under 18, either in schools or home.  Too many pare"
76,1,"aids"
28,0,"social security reform"
72,0,"Too many people have turned their back on god"
64,0,"social problem"
78,1,"health care and medication"
46,1,"crime<mugger,rapest,ect."
47,1,"consumerism"
55,1,"all the foreiners comming in here, too many people coming over here we're going "
46,1,"education"
51,0,"morals{what}aint none anymore"
21,1,"racism"
46,1,"education"
50,1,""
82,1,"crime /what about/ whole country overwhelmed with crime /else/|stealing  and mur"
86,0,"the election (problem?) saving social security"
26,0,"education or econmy"
35,0,"lack of for everyone"
45,0,"drugs"
61,1,"downsizing of large and medium sized companies, resulting in loss of good paying"
19,0,"violence(elab) it's grwoing and growing as the years progress"
44,1,"Education"
34,0,"Campaign finance reform.  Although there are alot of other issues that intereest"
50,0,"taxes"
25,1,"parenting"
69,0,"gasoline prices"
73,0,"health"
24,1,"the allegiance of polititians, government in general, to the interest of busines"
41,1,"enviorment<things getting out of control.frogs dying.big industry polutting,glob"
53,1,"teenage pregnacy aids and drugs and alcholism in teenagers."
41,0,"unemployment and drugs"
37,0,"education"
42,0,"immorality"
27,0,"bad weather"
73,0,"kids getting shot for no reason"
64,1,"drugs"
44,0,"abortion: I think it should be illegal-most of them"
20,1,"gas prices"
70,1,"education"
40,1,"the government"
43,0,"taxes"
74,0,"IMMORALITY"
75,1,"Healthcare"
28,1,"Healthcare"
43,1,"drugs"
50,0,"poverty"
30,1,"debt"
82,0,"clinton"
20,0,"failing education system/and social security system"
19,1,"education"
37,1,"parents leting their children raise themselves"
18,1,"educastiopn"
36,0,"Labor Market"
46,1,"civilrights"
32,0,"lack of privacy"
22,0,"lack of morals"
49,0,"racial problems"
43,1,"justice"
54,1,"social swecutirt"
40,1,"moral values"
48,0,"complasensy"
49,0,"politicians"
69,0,"the goofy president we have, he's a loose cannon, lies and cheats"
42,0,"deteriation of our personal freedoms"
41,1,"population/over"
90,0,"Bill Clinton"
38,0,"education"
27,0,"gas prices"
35,1,"lack of education... not jsut in school, but not educated on guns, feelings or a"
50,0,"lack of a 3 party system(what)i think that we have gotten away from the constitu"
29,0,"immorality(spec)basically no religion in america any more+"
42,0,"lack of god not being in charge"
67,0,"crime"
68,1,"racial problems"
66,0,"minimum wage"
47,1,"starvation"
32,0,"lack of morality"
28,1,""
62,1,"morality"
63,1,"violence"
42,0,"the voilence w/ kids"
77,1,"high prices"
29,0,"crappy president"
53,1,"violence from young people in schools."
