V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,custom1,gc,quota,Q32,Q1,Q2,Q22,Q4,Q3,Q24,Q5,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_14,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q3.0,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_10,Q1_11,Q1_12,Q8,Q7_1.0,Q7_2.0,Q7_3.0,Q7_4.0,Q7_5.0,Q7_6.0,Q7_7.0,Q7_8.0,Q7_9.0,Q7_10.0,Q7_11,Q7_12,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q28_7,Q28_8,Q28_9,Q5.0,Q4_1.0,Q4_2.0,Q4_3.0,Q4_4.0,Q4_5.0,Q4_6.0,Q4_7.0,Q4_8.0,Q4_9.0,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q9_1.0,Q9_2.0,Q9_3.0,Q9_4.0,Q9_5.0,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q10_1.0,Q10_2.0,Q10_3.0,Q10_4.0,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q12,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q11_1.0,Q11_2.0,Q11_3.0,Q11_4.0,Q11_5.0,Q11_6.0,Q12_1,Q12_2,Q12_3,hugrev,enjoytouchrev,shdnotbeuncomfrev,liketouchrev,showemorev,likebetouchedrev,touchpersrev,touchICK,okdoctouchrev,undoctouchrev,docshdtouchrev,prefdoctouchrev,docICK
R_3gaamscCFDfKXyt,Default Response Set,Anonymous, , ,24.29.77.229,0,12/16/2013,12/16/2013,1,5001939cb7130f-54c8-476c-8cd8-9875a2b1fe31,1, ,1,1,59,3,1,11/6/2013,1,3,1,1,1,1,1,7,6,6,7,1,7,7,7,1,6,6,6,5,6,4,4,5,6,5,7,7,4,4,7,7,7,4,4,7,6,4,7,7,4,7,7,7,4,5,7,5,4,7,7,5,4,4,4,4,4,7,4,4,4,4,7,7,4,7,2,4,6,4,7,4,4,7,7,4,4,7,6,2,4,1,4,3,5,5,5,3,3,5,2,2,5,5,1,2,5,3,5,5,3,3,4,5,5,5,5,3,4,4,4,3,5,3,3,4,1,5,3,3,5,5,5,5,3,5,2,2,3,3,2,2,2,4,4,4,3,3,4,2,2,2,2, , , ,1,2,2,3,2,2,2,3,3,3,3,1,1,1, , ,1, , , , ,2,4,4,4,2,2, , ,1,8,8,8,8,8,8,8,6.92307692307692,6,6,6,7,5.5
R_3gAqYAfQbjgXg1v,Default Response Set,Anonymous, , ,67.231.161.118,0,12/16/2013,12/16/2013,1,5001936009249a-2967-4bcd-adfb-004dfe5a5d61,1, ,1,1,51,3,1,2 weeks ago,1 hour,4,7,2,5,4,6,7,4,5,7,7,7,6,7,4,7,11,8,4,7,6,2,9,3,9,9,11,11,8,9,8,9,6,3,10,11,11,9,4,6,4,2,2,11,11,11,2,2,4,10,11,11,11,11,11,9,2,2,11,11,11,2,2,11,2,2,10,2,11,3,10,10,3,10,2,11,11,11,1,11,1,4,3,6,7,5,4,4,6,6,1,2,2,1,1,5,2,6,6,3,2,3,6,4,7,7,4,4,1,6,4,2,1,4,4,1,4,1,6,6,6,5,6,2,6,1,1,3,4,2,1,3,1,4,4,5,1,5,1,1,1,1,1, , , ,5,5,5,5,4,5,5,5,4,4,1, ,1, , , , , , , ,1,3,2,1,1,4,1, , ,1,3,1,1,1,1,2,1.69230769230769,5,1,4,8,5.4
R_3I8zADCj3jwaae9,Default Response Set,Anonymous, , ,72.184.23.193,0,12/16/2013,12/16/2013,1,500193d8a15487-9f94-4a40-bf51-ea9086b5b193,1, ,1,2,52,3,1,october 2013,1,4,7,1,1,1,1,1,1,1,7,7,7,7,7,7,10,11,6,6,4,3,6,6,3,1,11,11,5,1,11,11,11,3,6,11,10,6,11,6,4,11,2,2,6,11,11,2,2,3,11,11,10,10,11,6,4,8,11,6,2,2,9,10,2,9,6,2,11,5,9,8,8,8,6,2,6,6,8,6,6,1,4,4,5,4,4,4,4,4,3,4,5,4,1,2,4,4,7,7,4,4,4,4,6,7,7,4,4,3,4,4,4,4,4,4,1,4,7,4,4,4,4,4,4,4,2,4,5,5,5,5,5,1,5,4,3,4,5,2,1,1,1, , , ,1,3,1,4,1,1,1,1,5,3,3,1,1, , , , , , , , ,1,1,5,1,1,1, ,1, ,6,8,6,10,10,10,10,8.69230769230769,2,1,6,6,3.8
R_3IfOj174O05pzY9,Default Response Set,Anonymous, , ,24.154.135.237,0,12/16/2013,12/16/2013,1,500193da9ee1ec-0f40-452e-b1f5-4937fc4d8442,1, ,1,2,53,3,1,11/2013,1,1,7,1,6,6,6,7,7,7,1,6,6,6,6,4,11,11,11,10,10,11,2,9,11,2,11,11,2,2,11,11,11,2,2,11,6,6,11,10,2,11,6,6,11,11,11,9,2,11,11,6,11,6,6,8,3,8,3,3,3,3,8,8,3,8,8,3,8,7,9,2,7,9,11,2,2,11,2,11,2,1,4,4,7,4,7,4,7,4,4,1,4,2,1,1,3,3,3,7,7,4,4,6,4,2,4,4,7,1,3,3,7,7,1,4,1,7,4,4,4,4,4,5,5,5,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3,3,1, , , ,5,3,5,3,4,3,3,3,4,3,1, , , , , , , , ,1,1,1,1,1,1,1,1, , ,4,9,9,9,9,9,9,7.76923076923077,1,1,1,2,5
R_3IqIGHnPs7d2o5L,Default Response Set,Anonymous, , ,96.58.215.181,0,12/16/2013,12/16/2013,1,50019363b4f90f-3f7b-4f43-b5f4-6dfa0cc50509,1, ,1,1,70,3,1,4 months,1 hour,6,2,1,1,1,1,7,7,1,5,5,5,5,7,5,10,11,10,10,3,3,2,7,2,3,10,10,5,2,3,2,10,3,3,10,9,9,10,10,3,10,10,9,3,3,5,10,2,11,10,3,3,3,3,10,9,5,3,9,9,5,3,3,10,3,3,9,3,3,10,3,3,10,11,1,3,11,7,1,3,1,4,5,7,5,5,4,4,5,6,2,5,2,1,3,4,3,4,7,5,5,4,4,5,5,5,4,4,3,5,4,4,4,4,4,1,5,4,5,6,5,5,5,5,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3, ,1, , ,2,2,3,2,3,2,3,4,2,3,1, , , , , , , , ,1,2,4,4,4,2,2, , ,1,2,3,3,3,7,2,3,3.30769230769231,2,1,2,2,2.7
R_3ISfGbTtrRp2HXf,Default Response Set,Anonymous, , ,108.95.20.112,0,12/16/2013,12/16/2013,1,500193fbccb59d-390e-4b34-bcb9-dbfd5afa01f3,1, ,1,1,71,3,1,2 months ago,2,4,1,1,1,1,7,7,7,6,7,6,7,7,7,6,9,9,9,10,2,2,2,6,2,2,10,9,3,3,9,9,9,3,3,9,6,8,10,9,3,8,10,10,6,4,3,8,3,9,10,3,3,2,3,10,6,3,3,9,6,8,3,3,9,3,2,9,3,3,10,3,3,10,10,6,3,10,5,1,3,1,2,6,7,6,5,1,1,1,7,1,4,2,1,3,5,6,5,7,3,6,2,7,4,7,6,2,3,6,6,1,1,1,1,2,1,7,4,2,6,4,6,7,6,6,3,4,4,4,3,4,4,3,4,4,4,4,4,4,3,3,3,1,1, ,1,2,2,2,2,3,3,4,3,2,3,1, , , , , , , , ,1,2,2,3,3,3,2,1, , ,2,6,3,6,4,3,3,3.38461538461538,3,3,3,2,2.7
R_3KO699g4SVySCbj,Default Response Set,Anonymous, , ,97.75.134.169,0,12/16/2013,12/16/2013,1,5001933393e688-e550-4762-9f11-732d7d9f131a, , ,1,2,37,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
R_3KsFX4CD80v5CpT,Default Response Set,Anonymous, , ,76.101.183.171,0,12/16/2013,12/16/2013,1,50019309a01254-81c1-4f6c-ae5d-0407ae1e139e,1, ,1,2,48,3,1,2 monts ago,1,2,5,6,6,5,5,5,5,6,3,4,5,5,5,5,8,8,7,7,8,7,9,9,6,9,7,7,6,7,8,7,6,6,5,8,8,5,9,7,6,5,8,7,6,8,8,7,7,8,6,7,5,6,7,6,5,4,4,5,6,7,8,8,7,7,8,5,6,6,7,8,7,8,8,7,6,7,6,6,7,1,6,5,5,4,4,4,5,3,6,5,4,3,1,2,6,5,6,6,5,5,6,5,5,4,5,3,4,5,5,6,6,5,5,6,1,5,6,5,4,5,6,5,5,4,2,3,3,4,4,3,3,3,2,2,3,4,4,3,3,4,4, , , ,1,3,4,4,3,3,4,4,3,2,2,1,1,1, ,1, , , , , ,2,3,3,4,4,3, ,1, ,6,7,7,6,5,5,7,6.30769230769231,4,4,5,5,6.6
R_3mbvfht3njxH7H7,Default Response Set,Anonymous, , ,24.7.188.66,0,12/16/2013,12/16/2013,1,500193aaf66135-35a8-430f-8869-5f0f12074af8, , ,1,2,59,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
R_3mjcF9yNOtMKjAN,Default Response Set,Anonymous, , ,74.104.127.165,0,12/16/2013,12/16/2013,1,500193cfc23cdc-be69-4f98-8e2e-9a67360c0b5a,1, ,1,1,40,3,1,10/2013,2,5,2,1,1,3,4,7,5,5,7,4,6,7,6,4,2,9,9,7,11,5,5,7,8,5,9,10,2,2,11,11,10,6,8,9,2,2,8,11,5,10,3,4,4,9,9,4,4,2,9,7,9,3,2,9,4,9,7,7,3,4,7,9,3,8,3,4,9,8,5,9,11,4,11,2,2,11,7,1,3,1,6,7,7,7,6,1,1,7,7,1,4,6,1,2,5,4,7,7,4,7,2,7,7,1,7,5,4,2,6,4,6,6,3,5,1,6,7,3,7,7,7,6,7,7,1,2,4,4,3,1,1,1,5,5,5,5,5,1,1,1,1,1, , , ,1,4,4,1,4,1,4,3,3,2,1,1,1, , , ,1, ,1, ,3,5,4,5,2,5, , ,1,3,8,5,9,8,9,8,7.15384615384615,10,3,3,5,6.2
R_3mjhkUfefM1SpQ9,Default Response Set,Anonymous, , ,173.26.2.222,0,12/16/2013,12/16/2013,1,500193337d5c9d-609a-4c8a-bf6b-7c079159e814, , ,1,2,39,3,1,1 month,1,7,1,2,2,1,3,7,1,5,1,7,5,7,7,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
R_3OG7PYyUEnODEmF,Default Response Set,Anonymous, , ,96.249.229.168,0,12/13/2013,12/13/2013,1,5001933452e78c-1553-4687-ac63-34fde1849ca9,1, ,1,2,38,3,1,October 2013,3,7,7,1,6,2,6,7,7,6,7,1,1,7,1,1,11,11,10,10,8,8,2,8,2,11,11,11,2,2,11,11,11,3,2,10,9,9,6,1,2,10,4,4,2,2,4,10,2,7,11,2,3,8,7,8,4,5,2,1,5,1,6,6,5,6,2,6,4,2,9,2,2,10,9,1,2,10,7,10,2,1,5,6,6,6,7,4,7,5,2,2,7,4,1,7,1,7,1,4,7,7,6,4,6,4,5,1,1,7,7,1,1,1,7,1,1,7,2,6,6,6,5,7,6,3,3,2,5,5,5,1,3,3,5,5,5,5,5,2,5,5,3, ,1, , ,4,4,4,5,3,5,4,5,4,1,1, , ,1, , , , , , ,1,1,5,5,1,1, , ,1,4,8,11,7,11,7,6,6.23076923076923,1,1,2,2,4.5
R_3OYYjhstJgqOqRn,Default Response Set,Anonymous, , ,76.69.238.102,0,12/16/2013,12/16/2013,1,5001939c0335d9-7126-4e5f-9afa-90f8157fc35b, , ,1,2,75,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
R_3PolA6yLwGxhqoB,Default Response Set,Anonymous, , ,69.119.171.192,0,12/17/2013,12/17/2013,1,50019376e8cc38-b091-480f-b2ac-07cb96819bc4,3,2,1,1,48,3,1,3,2,3,7,6,7,6,7,7,7,7,7,7,4,4,6,7,11,11,11,11,1,2,1,1,1,1,11,11,3,1,11,11,11,1,1,1,2,8,7,11,1,8,10,3,1,3,5,8,2,11,11,7,3,8,2,11,7,6,2,6,9,3,3,2,10,2,2,6,2,2,9,2,2,9,11,2,2,11,5,1,2,1,1,5,7,7,7,1,1,7,6,1,5,1,1,1,5,1,7,7,1,2,3,3,1,5,2,7,4,1,1,5,4,6,1,2,1,1,4,4,6,6,6,5,4,7,1,1,4,4,4,1,1,4,5,5,4,2,5,1,1,1,1,1, , , ,4,4,5,4,5,4,4,5,4,4,1, , , , , , , , ,1,1,1,1,1,1,1,1,1, ,1,5,6,3,9,2,6,3.76923076923077,1,1,1,1,1.1
R_3Q7TMnQHgHe3NTD,Default Response Set,Anonymous, , ,75.86.183.119,0,12/17/2013,12/17/2013,1,500193bad8d1da-3af3-419c-990d-5a38147db631, , ,1,2,29,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
R_3qi2ohJdT0pNoix,Default Response Set,Anonymous, , ,152.26.230.34,0,12/16/2013,12/16/2013,1,500193198dc388-2ff4-4d6b-bd7a-5a34bbe7bbd8,1, ,1,1,19,2,1,last week,1,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,4,4,4,4,4,4,4,4,4,4,4,4,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1, , , ,1,1,1,1,1,1,1,1,1,1,1,1, , , , , , , , ,1,1,1,1,1,1, , ,1,6,6,6,6,6,6,6,6,6,6,6,6,6
R_3rUdN4mi9kBQXZ3,Default Response Set,Anonymous, , ,173.51.200.60,0,12/16/2013,12/16/2013,1,500193c640afcf-33f5-4a83-b3e5-8849c4da4ee3,1, ,1,2,61,4,1,about 15 years ago,.5,4,1,1,2,1,7,6,6,1,1,3,2,2,2,2,4,10,6,3,6,2,2,6,4,4,6,9,10,3,9,9,9,4,4,9,10,10,6,6,2,3,2,8,5,6,2,6,2,9,9,7,6,3,3,10,6,6,2,10,9,9,2,2,10,2,2,7,2,3,8,2,3,8,2,2,11,2,6,2,6,1,4,3,6,6,4,4,1,6,6,1,3,7,1,1,4,4,7,7,4,2,3,6,4,7,4,4,4,4,4,4,4,4,4,4,1,1,1,5,7,1,6,1,1,6,1,1,1,1,1,1,1,1,4,3,3,3,5,2,2,2,2,1, , , ,2,2,4,4,2,2,4,4,2,4,1,1, , ,1, , , , , ,1,1,3,2,1,1, , ,1,2,6,2,3,3,2,5,3,8,2,6,9,4.9
R_3scpO1cgrhTAKqN,Default Response Set,Anonymous, , ,98.109.8.217,0,12/16/2013,12/16/2013,1,500193f78c4194-1f88-4480-9f63-cbaf08cb367a,1, ,1,1,74,3,1,11/2013,1,2,1,1,1,1,3,2,2,5,3,1,6,6,5,3,10,10,10,10,8,4,4,6,2,3,10,9,9,10,10,9,10,2,11,9,2,2,11,9,3,8,10,10,2,10,10,9,2,10,11,9,10,2,2,8,7,10,4,7,5,7,7,6,6,5,2,6,7,6,8,5,5,9,11,1,3,11,4,1,2,1,2,5,7,6,5,2,1,4,1,2,1,5,1,1,6,5,5,7,3,5,3,6,6,7,6,5,5,1,5,3,3,2,2,6,1,6,3,6,5,5,6,3,2,6,1,1,4,4,1,1,1,1,4,3,1,4,3,1,1,1,1,1, , , ,1,1,1,1,1,1,1,1,1,1,1,1, , ,1, , , , , ,1,1,1,4,1,1, , ,1,4,5,5,7,5,6,6,5.53846153846154,2,2,2,2,3.5
R_3seF2LbyK86Zk7H,Default Response Set,Anonymous, , ,72.45.12.10,0,12/16/2013,12/16/2013,1,500193110d536e-adde-4a9e-a21a-d19fd3c9cf7e,1, ,1,1,30,3,1,LAST WEEK,1 HOUR,2,7,6,6,6,6,7,7,6,5,5,7,7,5,7,3,8,8,3,3,3,2,10,8,2,11,2,2,2,11,11,11,2,2,11,2,2,11,11,7,11,11,11,7,11,2,2,2,3,11,2,3,2,2,11,6,6,2,11,8,10,4,4,9,4,2,8,2,2,11,2,2,11,11,11,5,11,11,2,2,1,6,5,5,7,6,2,1,7,7,2,2,4,1,4,4,4,7,5,6,6,6,7,3,4,6,5,6,7,5,4,4,4,7,5,1,7,3,5,6,5,6,6,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,1,1,1,1,5,5,5,5,5,5,2,2,5,4,1,1,1,1,1,1,1,1,1, ,4,5,5,5,5,5, , ,1,1,6,1,4,2,3,4,3.30769230769231,9,4,4,9,5.4
R_3sLOvI5ciz98D4x,Default Response Set,Anonymous, , ,173.93.143.197,0,12/16/2013,12/16/2013,1,500193839d8c2e-9dfe-4b1f-8428-8c25458cc361,1, ,1,1,52,3,1,1 year,1,7,6,1,1,1,6,7,6,5,7,1,1,1,6,1,10,11,9,10,5,4,2,5,4,4,11,11,2,9,11,11,11,11,2,11,8,8,11,11,2,11,7,7,2,4,9,6,3,11,11,5,6,3,4,11,10,3,2,10,9,9,2,3,9,3,2,8,2,4,10,3,5,11,4,6,5,9,7,1,2,1,4,7,4,7,7,3,7,2,2,3,3,6,1,7,4,4,3,6,7,7,5,4,7,7,5,4,6,5,7,4,1,1,7,1,1,6,3,5,5,7,7,5,5,5,4,4,4,4,4,4,4,2,4,4,4,4,4,3,3,3,3,1, , , ,2,2,2,2,2,2,2,2,2,2,1, , , , , , , , ,1,2,1,2,2,2,2, , ,1,1,2,2,3,3,3,4,2.53846153846154,2,1,3,2,3.2
R_3vIYp04ChYsXzF3,Default Response Set,Anonymous, , ,67.140.220.2,0,12/16/2013,12/16/2013,1,500193b748e0e7-a130-48e3-b518-928671f8089d,1, ,1,2,58,3,1,1 year 2 months,1 hour,6,5,1,1,1,1,7,7,5,5,1,1,1,7,1,2,11,10,7,6,2,2,6,2,2,10,11,2,2,11,11,11,2,2,10,2,10,11,11,2,11,10,9,3,2,2,5,2,10,11,2,2,2,2,10,3,10,6,6,3,6,6,6,6,8,2,6,5,6,6,2,2,10,11,2,9,11,11,10,2,1,5,4,6,5,5,1,4,5,5,1,4,5,1,7,5,4,6,7,4,4,4,3,5,6,6,2,3,5,4,4,1,1,6,4,1,6,6,4,4,4,4,1,1,1,3,2,4,4,4,2,1,1,4,4,4,1,5,1,1,1,1,1, , , ,2,1,2,1,1,1,1,2,1,1,1, , ,1, , , , , , ,1,1,1,1,1,1, , ,1,2,9,6,9,6,6,6,6.30769230769231,10,1,2,5,3.8
R_3vJ2DlZWBEPZku9,Default Response Set,Anonymous, , ,72.92.13.105,0,12/16/2013,12/16/2013,1,50019322920566-a000-4841-be70-59ef01d1f52a,1, ,1,2,69,1,1,August 2013,1,1,1,1,1,1,7,7,7,6,6,6,7,7,7,4,8,9,10,9,9,9,6,9,10,2,8,9,8,7,8,8,9,8,8,9,2,2,2,2,2,7,2,10,2,10,10,2,10,3,9,10,9,10,2,2,8,9,2,9,9,9,2,2,9,9,2,8,3,10,2,2,2,2,10,2,9,10,10,2,3,1,2,5,6,6,6,5,2,6,6,2,2,6,1,5,4,2,6,6,6,6,6,6,6,7,6,6,6,2,6,7,6,6,2,6,1,6,6,6,5,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,1,1,1,1,4,1,4,4,3,2,3,4,4,4,1,1, , , , , , , , ,4,1,4,1,1,1, , ,1,10,4,3,3,3,3,4,4.30769230769231,4,3,2,3,5.7
R_3VmUc7XXSNJPZBz,Default Response Set,Anonymous, , ,24.163.125.39,0,12/16/2013,12/16/2013,1,5001932a260b25-8c24-426c-8eea-0eaa9d294955, , ,1,2,23,6,1,6 months,1,4,1,1,1,1,1,7,1,1,1,1,7,7,1,1,10,11,10,6,1,6,2,6,11,2,11,11,2,2,11,11,11,2,2,2,11,2,11,11,2,11,2,11,2,6,2,6,2,11,11,2,11,2,2,11,6,8,2,6,6,6,6,6,6,6,2,2,9,2,11,2,2,11,11,2,11,2,11,2,2,1,4,4,7,7,4,4,4,4,7,4,7,4, , , , , , , , , , , , , , , , , , , , , , ,1,4,4,4,4,4,4,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,6,6,6,6,6,10,5.46153846153846,2,1,2,6,3.9
R_3Wzcn61OZqp4AO9,Default Response Set,Anonymous, , ,71.31.178.197,0,12/16/2013,12/16/2013,1,5001939a6927b6-065d-43c0-b736-983a1217611d,1, ,1,1,54,3,1,12,1,1,6,4,5,4,6,7,6,6,6,2,7,7,7,2,11,11,10,10,2,4,2,2,2,2,10,10,8,3,10,3,10,7,6,10,2,2,6,9,3,10,10,10,3,9,10,8,10,10,10,8,10,3,3,11,9,3,2,9,9,6,2,6,9,2,2,9,3,8,6,3,7,9,2,2,10,6,10,2,2,1,2,3,7,7,7,2,1,6,5,1,1,2,1,3,4,4,6,7,2,2,1,7,4,6,6,3,4,2,6,4,4,5,5,5,1,2,2,4,5,5,6,6,4,7,1,1,1,1,1,1,1,1,4,4,4,3,4,3,1,1,1,1,1,1,1,3,4,5,4,2,3,3,4,4,3,1, , ,1, , , , , , ,1,1,1,1,1,1, , ,1,1,3,3,3,6,3,3,3,1,1,2,2,2
R_3yBvPlOHXPjLHk9,Default Response Set,Anonymous, , ,173.81.255.195,0,12/17/2013,12/17/2013,1,5001931b284174-d5b6-4e6c-9059-6878d536c8e4,1, ,1,1,34,3,1,11/2013,2,1,7,1,1,1,1,7,7,6,1,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,8,8,8,8,7,9,7,8,7,7,9,8,9,8,9,8,9,8,9,8,9,8,9,8,4,8,4,4,9,2,2,10,7,5,1,2,1,4,4,7,6,6,2,1,6,6,1,2,4,1,1,7,4,7,7,1,4,1,7,1,7,4,6,5,1,3,6,6,6,1,4,1,2,1,7,4,6,6,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3, , , ,1,3,3,3,3,3,3,3,3,3,3,1,1, , ,1, , , , , ,1,1,1,1,1,1, , ,1,3,4,3,4,3,4,3,5.76923076923077,5,5,5,5,6.1
R_3yZeMBuFbXwVraR,Default Response Set,Anonymous, , ,173.16.139.35,0,12/16/2013,12/16/2013,1,5001938d056398-8992-43b6-92ec-d375f3ad1c53, , ,1,2,22,3,2,6 months,1,4,7,1,4,1,1,6,1,1,5,1,1,1,1,1,5,8,8,5,8,8,5,9,9,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,4,4,7,6.8
R_3z7HZyYrltXNjeJ,Default Response Set,Anonymous, , ,67.247.58.52,0,12/16/2013,12/16/2013,1,5001938a11676d-5cac-4cb5-b21e-d6b6619b5205,1, ,1,1,59,3,1,ONE WEEK AGO,1,4,7,7,5,4,4,5,3,7,5,6,4,4,2,2,5,6,4,5,7,8,8,6,7,8,8,6,4,5,7,8,7,6,7,7,9,7,7,6,7,8,8,8,7,8,7,8,8,7,8,8,7,9,8,4,4,9,6,6,5,5,4,5,4,4,5,6,7,6,8,5,5,8,8,7,8,8,7,6,7,1,4,5,4,4,5,5,3,4,5,5,4,5,1,4,5,5,4,5,6,4,4,5,4,5,5,3,3,4,4,3,5,4,4,5,1,4,5,5,4,4,5,5,4,5,3,4,3,3,4,3,4,2,2,3,4,3,4,3,2,4,3, , , ,1,4,4,3,4,3,4,3,4,4,3,1, , , , ,1,1, , , ,3,4,3,4,3,4,1, , ,8,8,6,7,7,8,6,6.38461538461539,7,6,8,7,7.2
R_40EmSsfq0abKx2B,Default Response Set,Anonymous, , ,174.55.78.211,0,12/16/2013,12/16/2013,1,50019327da6aac-3f81-410b-8166-f1f6e757ec92,1, ,1,1,69,3,1,10/2013,1,2,7,4,2,1,3,7,7,7,6,2,7,6,7,2,11,11,8,9,2,1,2,5,2,2,10,10,3,2,10,11,10,3,2,11,3,4,11,11,4,11,3,3,11,4,9,7,3,10,11,8,2,4,5,11,9,2,2,6,8,4,5,4,8,3,2,7,2,3,10,3,3,10,11,2,6,11,10,1,2,1,4,5,7,6,6,2,3,5,2,2,6,1,1,1,5,4,3,7,2,1,5,4,3,5,6,3,2,2,4,5,1,4,4,4,1,6,4,4,6,6,6,5,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, , , ,1,1,4,4,3,3,4,4,1,2,1,1, , ,1, , , ,1, ,1,3,5,1,1,1,1, , ,1,3,6,4,8,4,5,3.76923076923077,1,1,4,3,2.3
